kod_stacji,nazwa_stacji,lon,lat,stan,stan_data,przelyw,przeplyw_data
153220280,BIAŁOBRZEGI,22.966389,53.804167,91,2025-03-31 09:20:00,2,2025-03-31 09:20:00
153230010,FASTY,23.026667,53.178611,106,2025-03-31 09:20:00,7,2025-03-31 09:20:00
153230020,KARPOWICZE,23.043333,53.585278,164,2025-03-31 09:20:00,2,2025-03-31 09:20:00
150220130,ZAPAŁÓW,22.89,50.100556,66,2025-03-31 09:20:00,2,2025-03-31 09:20:00
150220140,CHARYTANY,22.938611,50.003333,143,2025-03-31 09:20:00,2,2025-03-31 09:20:00
150220160,OSUCHY,22.955,50.398889,185,2025-03-31 09:20:00,3,2025-03-31 09:20:00
150230010,NIELISZ,23.041111,50.808611,18,2025-03-31 09:20:00,4,2025-03-31 09:20:00
150230040,KRASNYSTAW,23.176667,50.985278,286,2025-03-31 09:20:00,9,2025-03-31 09:20:00
150240010,STRZYŻÓW,24.035833,50.839444,339,2025-03-31 09:20:00,23,2025-03-31 09:20:00
150240020,KRYŁÓW,24.0625,50.677222,129,2025-03-31 09:20:00,18,2025-03-31 09:20:00
151140010,GUBIN,14.706944,51.971944,71,2025-03-31 09:20:00,16,2025-03-31 09:20:00
151140020,PLEŚNO,14.754444,51.915556,84,2025-03-31 09:20:00,,
151140030,PRZEWOŹNIKI,14.821667,51.525278,238,2025-03-31 09:20:00,0,2025-03-31 09:20:00
151140060,ZGORZELEC,14.993611,51.161111,175,2025-03-31 09:20:00,14,2025-03-31 09:20:00
151150010,ZGORZELEC,15.020556,51.130833,80,2025-03-31 08:50:00,1,2025-03-31 08:50:00
151150020,OSTRÓŻNO,15.032778,51.020833,145,2025-03-31 09:20:00,4,2025-03-31 09:20:00
151150040,NOWOGRÓD BOBRZAŃSKI,15.236944,51.798611,146,2025-03-31 09:20:00,37,2025-03-31 09:20:00
151150060,LEŚNA,15.286667,51.028333,9,2025-03-31 09:20:00,1,2025-03-31 09:20:00
151150070,ŻAGAŃ,15.289722,51.613889,85,2025-03-31 08:50:00,2,2025-03-31 08:50:00
151150090,ŁOZY,15.368611,51.491389,152,2025-03-31 09:20:00,7,2025-03-31 09:20:00
151150100,NOWOGRODZIEC,15.395833,51.203056,135,2025-03-31 09:20:00,4,2025-03-31 09:20:00
151150110,GRYFÓW ŚLĄSKI,15.413056,51.026667,111,2025-03-31 09:20:00,3,2025-03-31 09:20:00
151150120,SZPROTAWA,15.526667,51.561389,111,2025-03-31 09:20:00,13,2025-03-31 09:20:00
151150140,DĄBROWA BOLESŁAWIECKA,15.570556,51.325833,73,2025-03-31 09:20:00,10,2025-03-31 09:20:00
151150150,NOWA SÓL,15.721667,51.802222,187,2025-03-31 09:20:00,128,2025-03-31 09:20:00
151150170,ŚWIERZAWA,15.887778,51.017778,125,2025-03-31 09:20:00,1,2025-03-31 09:20:00
151150180,CHOJNÓW,15.945556,51.272778,59,2025-03-31 09:20:00,1,2025-03-31 09:20:00
151160020,RZYMÓWKA,16.025556,51.139444,111,2025-03-31 09:20:00,2,2025-03-31 09:20:00
151160040,BUKOWNA,16.046944,51.31,,,,
152150190,NOWE DREZDENKO,15.8375,52.850833,134,2025-03-31 09:20:00,51,2025-03-31 09:20:00
152150200,MIĘDZYCHÓD,15.886111,52.604167,128,2025-03-31 03:20:00,67,2025-03-31 03:20:00
152150240,DRAWINY,15.977778,52.885556,38,2025-03-31 09:20:00,18,2025-03-31 09:20:00
152160010,KRZYŻ,16.001667,52.861667,169,2025-03-31 09:20:00,35,2025-03-31 09:20:00
152160050,WRONKI,16.38,52.711667,170,2025-03-31 09:20:00,60,2025-03-31 09:20:00
152160090,KOŚCIAN,16.644167,52.09,124,2025-03-31 09:20:00,3,2025-03-31 09:20:00
152160100,OBORNIKI,16.813611,52.643611,197,2025-03-31 09:20:00,56,2025-03-31 09:20:00
152160110,KOWANÓWKO,16.836667,52.668611,114,2025-03-31 09:20:00,2,2025-03-31 09:20:00
152160130,MOSINA,16.856389,52.248333,58,2025-03-31 09:20:00,5,2025-03-31 09:20:00
152160140,POZNAŃ-MOST ROCHA,16.945278,52.402222,178,2025-03-31 09:20:00,50,2025-03-31 09:20:00
152170010,ŚREM,17.016111,52.093056,196,2025-03-31 09:20:00,45,2025-03-31 09:20:00
152170080,PYZDRY,17.695278,52.167778,209,2025-03-31 09:20:00,32,2025-03-31 09:20:00
152170120,SAMARZEWO,17.743056,52.223333,103,2025-03-31 09:20:00,0,2025-03-31 09:20:00
152170130,LĄD,17.886111,52.203611,146,2025-03-31 09:20:00,,
152180030,PAKOŚĆ,18.093056,52.8,172,2025-03-31 09:20:00,1,2025-03-31 09:20:00
152180050,SŁAWSK,18.133333,52.198333,258,2025-03-31 09:20:00,28,2025-03-31 09:20:00
152180060,POSOKA,18.2225,52.203056,180,2025-03-31 09:20:00,1,2025-03-31 09:20:00
152180120,KOŁO,18.634444,52.195278,197,2025-03-31 09:20:00,22,2025-03-31 09:20:00
152180140,GRZEGORZEW,18.742778,52.2,98,2025-03-31 09:20:00,0,2025-03-31 09:20:00
152180150,DĄBIE,18.823889,52.084722,105,2024-09-27 13:50:00,4,2024-09-27 13:50:00
152190030,WŁOCŁAWEK,19.069444,52.663333,151,2025-03-31 09:20:00,550,2025-03-31 09:20:00
152190050,KWIATKÓWEK,19.2175,52.0625,135,2025-03-31 09:20:00,1,2025-03-31 09:20:00
152190120,KĘPA POLSKA,19.963333,52.431389,220,2025-03-26 03:20:00,575,2025-03-26 03:20:00
152200010,KĘSZYCE,20.131389,52.135833,255,2025-03-31 09:20:00,4,2025-03-31 09:20:00
152200020,TRZCINIEC,20.171944,52.930556,184,2025-03-31 09:20:00,5,2025-03-31 09:20:00
152200030,WYSZOGRÓD,20.193056,52.384722,293,2025-03-31 09:20:00,553,2025-03-31 09:20:00
152200050,ŻUKÓW,20.269167,52.261667,105,2025-03-31 09:20:00,12,2025-03-31 09:20:00
152200110,MODLIN,20.659722,52.430556,274,2025-03-31 09:20:00,527,2025-03-31 09:20:00
152200130,ORZECHOWO,20.864444,52.488056,79,2025-03-31 09:20:00,,
152210030,MAKÓW MAZOWIECKI,21.106944,52.860833,154,2025-03-31 09:20:00,5,2025-03-31 09:20:00
152210040,WARSZAWA-NADWILANÓWKA,21.108056,52.186111,122,2025-03-31 09:20:00,350,2025-03-31 09:20:00
152210100,CZARNOWO,21.537222,52.883333,135,2025-03-31 09:20:00,1,2025-03-31 09:20:00
152210120,ŁOCHÓW,21.678333,52.51,126,2025-03-31 09:20:00,5,2025-03-31 09:20:00
152220010,ZALIWIE-PIEGAWKI,22.094722,52.253056,131,2025-03-31 09:20:00,2,2025-03-31 09:20:00
152220050,FRANKOPOL,22.560833,52.415,87,2025-03-31 09:20:00,62,2025-03-31 09:20:00
152220070,BRAŃSK,22.818611,52.743889,51,2025-03-31 09:20:00,2,2025-03-31 09:20:00
152220080,SURAŻ,22.955,52.948889,140,2025-03-31 09:20:00,7,2025-03-31 09:20:00
152230030,CHRABOŁY,23.195833,52.862222,105,2025-03-31 09:20:00,1,2025-03-31 09:20:00
152230040,PLOSKI,23.232222,52.902222,216,2025-03-31 09:20:00,5,2025-03-31 09:20:00
152230070,MALOWA GÓRA,23.4675,52.103611,209,2025-03-31 09:20:00,5,2025-03-31 09:20:00
152230080,KRZYCZEW,23.499167,52.146944,175,2025-03-26 03:20:00,54,2025-03-26 03:20:00
150160210,WILKANÓW,16.662222,50.265278,78,2025-03-31 09:20:00,0,2025-03-31 09:20:00
150170160,BRANICE,17.769444,50.051111,96,2025-03-31 09:20:00,1,2025-03-31 09:20:00
150190310,BALICE,19.806667,50.093056,240,2025-03-31 09:20:00,1,2025-03-31 09:20:00
151220080,TCHÓRZEW,22.556111,51.679167,189,2025-03-31 09:20:00,4,2025-03-31 09:20:00
152150100,BLEDZEW,15.421111,52.5175,134,2025-03-31 09:20:00,6,2025-03-31 09:20:00
151160160,RYDZYNA,16.668889,51.782778,129,2025-03-31 09:20:00,1,2025-03-31 09:20:00
151190020,SZCZERCÓW,19.113611,51.328333,136,2024-09-27 14:20:00,3,2024-09-27 14:20:00
153180060,KRĄPLEWICE,18.380833,53.489444,89,2025-03-31 09:20:00,6,2025-03-31 09:20:00
153210180,ZARUZIE,21.800278,53.148333,104,2025-03-31 09:20:00,1,2025-03-31 09:20:00
150220110,BIŁGORAJ,22.715278,50.542222,81,2025-03-31 09:20:00,1,2025-03-31 09:20:00
151150030,IŁOWA,15.198333,51.503056,132,2025-03-31 09:20:00,0,2025-03-31 09:20:00
152180110,KOŚCIELEC,18.575278,52.175278,140,2025-03-31 09:20:00,1,2025-03-31 09:20:00
152210090,WYSZKÓW,21.452778,52.588333,223,2025-03-31 09:20:00,87,2025-03-31 09:20:00
153230110,SUPRAŚL,23.338333,53.2125,102,2025-03-30 13:20:00,5,2025-03-30 13:20:00
154180120,GDYNIA,18.555278,54.517778,508,2025-03-31 09:20:00,,
154190100,PASŁĘK,19.66,54.070556,425,2025-03-31 09:20:00,1,2025-03-31 09:20:00
154190060,ELBLĄG,19.387778,54.171944,534,2025-03-31 09:20:00,,
150170150,KARŁOWICE,17.721667,50.878611,159,2025-03-31 09:20:00,2,2025-03-31 09:20:00
149180060,CIESZYN,18.629722,49.745833,24,2025-03-31 09:20:00,4,2025-03-31 09:20:00
150200060,SIEROSŁAWICE,20.456667,50.131944,77,2025-03-31 09:20:00,49,2025-03-31 09:20:00
150210160,KOPRZYWNICA,21.573056,50.595833,188,2025-03-31 09:20:00,1,2025-03-31 09:20:00
149190080,CIĘCINA,19.148889,49.624722,98,2025-03-31 09:20:00,4,2025-03-31 09:20:00
149190220,SKAWICA DOLNA,19.663611,49.686111,69,2025-03-31 09:20:00,2,2025-03-31 09:20:00
149200120,NIEDZICA,20.302222,49.411389,126,2025-03-31 09:20:00,1,2025-03-31 09:20:00
149210030,KLĘCZANY,21.216667,49.701389,76,2025-03-31 09:20:00,3,2025-03-31 09:20:00
149220110,KALNICA,22.429167,49.188889,284,2025-03-31 09:20:00,3,2025-03-31 09:20:00
149220190,PRZEMYŚL,22.767222,49.784722,80,2024-09-27 14:20:00,14,2024-09-27 14:20:00
149200300,MUSZYNA,20.891944,49.339444,100,2025-03-31 09:20:00,7,2025-03-31 09:20:00
150200170,ŻABNO,20.861944,50.131944,130,2025-03-31 09:20:00,35,2025-03-31 09:20:00
150220030,NISKO,22.192778,50.52,134,2025-03-31 09:20:00,62,2025-03-31 09:20:00
149190380,ZAKOPANE-HARENDA,19.9775,49.316111,147,2025-03-31 09:20:00,2,2025-03-31 09:20:00
